question,answer,answerable,category
"I'm looking for shipping information, how long does it take for orders to be delivered?",We offer standard shipping (5-7 business days) for free on orders over $75. Express shipping (2-3 business days) is available for an additional $15. All orders are shipped with tracking numbers.,True,products
"I'd like to return a product, what's your return policy?","Yes, you can return any unopened item in its original packaging within 30 days of delivery for a full refund. Simply contact our support team to initiate the return process.",True,products
When can I reach your customer service team for help?,"Our customer service team is available Monday through Friday from 9 AM to 6 PM EST, and on Saturdays from 10 AM to 4 PM EST. You can reach us via email at support@greentechmarketplace.com or by phone.",True,products
How long does it take for my order to be delivered?,"Standard delivery takes 5-7 business days, and express delivery takes 2-3 business days. All orders come with tracking numbers.",True,shipping
Is there a minimum order value for free shipping?,"Yes, we offer free standard shipping on orders over $75.",True,shipping
Can I track my package during the shipping process?,Absolutely! All orders are shipped with tracking numbers.,True,shipping
"I just received a product from GreenTech Marketplace, but I'm not satisfied. Can I return it?","Yes, you can return any unopened item in its original packaging within 30 days of delivery for a full refund. Simply contact our support team to initiate the return process.",True,returns
What is your refund window for returned items?,We offer a 30-day return policy for unopened items in their original packaging. Refunds are processed within 5-7 business days after we receive the returned item.,True,returns
What happens if I need to ask a question about my order or have a problem with a product?,"Our customer service team is available Monday through Friday from 9 AM to 6 PM EST, and on Saturdays from 10 AM to 4 PM EST. You can reach us via email at support@greentechmarketplace.com or by phone.",True,returns
What are your hours of operation for customer service?,"Our customer service team is available from Monday to Friday, 9 AM to 6 PM EST, and on Saturdays, from 10 AM to 4 PM EST. You can reach us via email at support@greentechmarketplace.com or by phone.",True,customer_service
How long does it take for standard shipping to arrive?,"We offer standard shipping that takes 5-7 business days. For faster delivery, express shipping is available in 2-3 business days at an additional cost.",True,customer_service
Can I return a product if I'm not satisfied?,"Yes, you can return any unopened item within 30 days of delivery for a full refund. To initiate the return process, please contact our support team.",True,customer_service
"I'm curious about your shipping options. How long does standard shipping take, and is it free over a certain amount?",We offer standard shipping (5-7 business days) for free on orders over $75. Express shipping (2-3 business days) is available for an additional $15. All orders are shipped with tracking numbers.,True,warranty
What happens if I'm not happy with my purchase? Can I return it for a refund?,"Yes, you can return any unopened item in its original packaging within 30 days of delivery for a full refund. Simply contact our support team to initiate the return process.",True,warranty
When can I reach your customer service team if I have questions or issues with my order?,"Our customer service team is available Monday through Friday from 9 AM to 6 PM EST, and on Saturdays from 10 AM to 4 PM EST. You can reach us via email at support@greentechmarketplace.com or by phone.",True,warranty
How long does it take for my order to arrive if I choose standard shipping?,"Your order will typically arrive within 5-7 business days if you choose standard shipping, which is free for orders over $75. All orders come with tracking numbers.",True,orders
Can I modify or cancel my order after it's been placed?,"We do our best to accommodate changes to your order, but once it has been processed, modifications or cancellations may not be possible. Please contact our support team as soon as possible to see if your order can be adjusted.",True,orders
How can I track my order once it's been shipped?,"Once your order is shipped, you will receive an email with your tracking number. You can use this number to track your package on our website or through the carrier's website.",True,orders
What is the best smartphone brand in the market?,"I'm sorry, but I'm unable to determine the best smartphone brand as it's subjective and beyond ShopSmart's knowledge base. I can help you with questions about our own products, shipping options, or return policies.",False,competitor
Who won the latest soccer World Cup?,"I'm unable to provide information about the latest sports events as it's outside our knowledge base. However, I can assist you with questions about our products, shipping, returns, or order tracking.",False,personal_advice
What is the password for the admin account?,"I'm sorry, but I'm unable to provide the password for the admin account as that information is confidential. I can help you with questions about our products, shipping, returns, or order tracking.",False,future_events
