knowledge_id,week_number,week_name,category,item_name,description,learning_objectives,prerequisites,difficulty_level,estimated_time_minutes
KB-W00-001,W00,Core AI Concepts,concept,Tokens and Tokenization,Text split into small units (tokens). Foundation of all LLM processing. Understand BPE subword and character tokenization.,Understand token units|Compare tokenization methods|Analyze token efficiency,None,beginner,45
KB-W00-002,W00,Core AI Concepts,concept,Embeddings,Tokens converted to vectors (numerical representations). Semantic meaning encoded in high-dimensional space.,Convert tokens to vectors|Visualize embedding space|Measure semantic similarity,None,beginner,60
KB-W00-003,W00,Core AI Concepts,concept,Vector Relationships and Attention,How each token/vector relates to every other. Self-attention mechanism computes contextual relationships.,Understand attention mechanism|Visualize attention patterns|Compute attention scores,None,intermediate,75
KB-W00-004,W00,Core AI Concepts,concept,Transformer Layers,Stacked attention + feedforward blocks. Multiple layers apply attention and transformations repeatedly.,Understand layer composition|Trace data through layers|Analyze layer outputs,None,intermediate,60
KB-W00-005,W00,Core AI Concepts,concept,Tensors,Data and weights stored and computed in tensors (multi-dimensional arrays). Core data structure for deep learning.,Manipulate tensor shapes|Understand broadcasting|Perform tensor operations,None,beginner,45
KB-W00-006,W00,Core AI Concepts,concept,Parameters and Weights,Learned numerical values inside tensors updated during training. The knowledge of the model.,Count model parameters|Inspect weight matrices|Understand parameter updates,None,intermediate,60
KB-W00-007,W00,Core AI Concepts,concept,LLM Architecture Overview,Complete picture: Tokens → Embeddings → Attention → Layers → Tensors → Parameters. End-to-end understanding.,Trace full LLM pipeline|Inspect model components|Extract architecture details,None,intermediate,90
KB-W00-008,W00,Core AI Concepts,exercise,Model Inspection Exercise,Retrieve hidden size number of layers attention heads tensor shapes embedding size vocabulary size from any model.,Extract model config|Analyze architecture|Compare model sizes,None,beginner,60
KB-W00-009,W00,Core AI Concepts,exercise,Build Mini GPT from Scratch,Build a real small GPT-style model (10-20M params) from scratch. Implements attention layers and training loop.,Implement transformer blocks|Train from scratch|Generate text,None,advanced,180
KB-W00-010,W00,Core AI Concepts,exercise,Custom Tokenizer Training,Train a BPE tokenizer on custom corpus. Understand vocabulary construction and subword segmentation.,Train BPE tokenizer|Configure vocab size|Test tokenization,None,intermediate,45
KB-W00-011,W00,Core AI Concepts,project,Bloom Taxonomy Educational LLM,Build a tutor that answers using Bloom's Taxonomy levels: remember understand apply analyze evaluate create.,Design Bloom prompts|Generate training data|Build educational RAG,None,advanced,240
KB-W00-012,W00,Core AI Concepts,project,Bloom RAG System,RAG system that retrieves from learning notes and answers in Bloom's Taxonomy format with 6 cognitive levels.,Build note retrieval|Implement Bloom prompt|Ground answers in context,None,advanced,120
KB-W00-013,W00,Core AI Concepts,project,Bloom Dataset Generator,Auto-generate Bloom's Taxonomy training data from notes. Creates instruction dataset for fine-tuning.,Parse learning notes|Generate Q&A pairs|Format for training,None,intermediate,90
KB-W00-014,W00,Core AI Concepts,project,Bloom Evaluation Script,Evaluate Bloom quality: checks for all 6 sections provides human rubric scores measures completeness.,Check section coverage|Score with rubric|Measure quality,None,intermediate,60
KB-W00-015,W00,Core AI Concepts,deployment,Ollama Bloom Tutor Deployment,Deploy Bloom tutor via Ollama Modelfile. Bakes Bloom's Taxonomy prompt into local model.,Create Modelfile|Build Ollama model|Run locally,None,intermediate,30
KB-W01-001,W01,Prompt Engineering,concept,LLM Fundamentals,Understanding how LLMs work: tokenization attention mechanisms and generation strategies. Foundation for building AI applications.,Understand tokenization|Learn attention mechanisms|Explore generation strategies,None,beginner,60
KB-W01-002,W01,Prompt Engineering,concept,Prompt Design Patterns,Common prompt patterns: zero-shot few-shot chain-of-thought and instruction following. Core skill for application builders.,Master zero-shot prompting|Implement few-shot examples|Apply chain-of-thought,None,beginner,45
KB-W01-003,W01,Prompt Engineering,exercise,Prompt Engineering Exercise,Introduction to prompt engineering with Mistral-7B model. Learn system prompts and prompt engineering techniques.,Design effective system prompts|Test prompt variations|Measure output quality,None,beginner,90
