model_name,model_type,architectures,vocab_size,embedding_size,hidden_size,num_attention_heads,attention_type,num_layers,intermediate_size,head_dim,num_key_value_heads,estimated_parameters,estimated_parameters_billions,max_position_embeddings,activation_function,position_embedding_type,total_size_gb,total_size_mb,total_size_bytes,file_count,has_config,has_tokenizer,key_files,last_modified,cache_location
Qwen/Qwen2-1.5B,qwen2,Qwen2ForCausalLM,151936,1536,1536,12,,28,8960,128,2,792723456,0.79,131072,silu,,5.77,5910.77,6197891604,15,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-11-30T05:27:31.327130,/Users/rajasoun/.cache/huggingface/models--Qwen--Qwen2-1.5B
Qwen/Qwen2.5-0.5B-Instruct,,,,,,,,,,,,,,,,,1.86,1906.56,1999172250,19,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-11-26T22:43:03.137645,/Users/rajasoun/.cache/huggingface/hub/models--Qwen--Qwen2.5-0.5B-Instruct
Qwen/Qwen2.5-1.5B,qwen2,Qwen2ForCausalLM,151936,1536,1536,12,,28,8960,128,2,792723456,0.79,131072,silu,,0.02,21.91,22976498,14,True,True,"config.json, tokenizer_config.json, vocab.json",2025-11-30T05:46:29.172382,/Users/rajasoun/.cache/huggingface/models--Qwen--Qwen2.5-1.5B
Qwen/Qwen3-0.6B,,,,,,,,,,,,,,,,,4.24,4346.42,4557556755,30,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-11-26T20:44:24.619213,/Users/rajasoun/.cache/huggingface/hub/models--Qwen--Qwen3-0.6B
Qwen/Qwen3-30B-A3B,,,,,,,,,,,,,,,,,0.25,253.53,265850232,25,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-05-03T11:40:42.370133,/Users/rajasoun/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B
bert-base-uncased,bert,BertForMaskedLM,30522,768,768,12,,12,3072,64,,84934656,0.08,512,gelu,absolute,0.82,841.42,882295952,14,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-03-31T14:40:59.002599,/Users/rajasoun/.cache/huggingface/hub/models--bert-base-uncased
consciousAI/question-answering-generative-t5-v1-base-s-q-c,,,,,,,,,,,,,,,,,1.85,1895.07,1987128880,20,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-26T22:09:14.501427,/Users/rajasoun/.cache/huggingface/hub/models--consciousAI--question-answering-generative-t5-v1-base-s-q-c
deepset/minilm-uncased-squad2,,,,,,,,,,,,,,,,,0.25,255.01,267397200,17,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-28T09:47:36.944413,/Users/rajasoun/.cache/huggingface/hub/models--deepset--minilm-uncased-squad2
deepset/roberta-base-squad2,,,,,,,,,,,,,,,,,0.93,949.12,995222048,19,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-11-26T22:09:24.507845,/Users/rajasoun/.cache/huggingface/hub/models--deepset--roberta-base-squad2
distilbert-base-uncased,,,,,,,,,,,,,,,,,0.5,512.41,537305778,14,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-03-31T14:41:05.359622,/Users/rajasoun/.cache/huggingface/hub/models--distilbert-base-uncased
distilbert-base-uncased-distilled-squad,,,,,,,,,,,,,,,,,0.5,507.68,532336250,17,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-26T22:13:49.090556,/Users/rajasoun/.cache/huggingface/hub/models--distilbert-base-uncased-distilled-squad
distilbert/distilbert-base-uncased-finetuned-sst-2-english,,,,,,,,,,,,,,,,,0.0,0.0,1298,3,True,False,config.json,2025-03-31T14:28:34.323966,/Users/rajasoun/.cache/huggingface/hub/models--distilbert--distilbert-base-uncased-finetuned-sst-2-english
fdtn-ai/Foundation-Sec-8B,,,,,,,,,,,,,,,,,59.9,61340.11,64319770600,52,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-04-30T23:58:50.578200,/Users/rajasoun/.cache/huggingface/hub/models--fdtn-ai--Foundation-Sec-8B
gasolsun/DynamicRAG-8B,,,,,,,,,,,,,,,,,29.95,30666.05,32155685378,26,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-26T22:13:41.099082,/Users/rajasoun/.cache/huggingface/hub/models--gasolsun--DynamicRAG-8B
google-bert/bert-large-cased-whole-word-masking-finetuned-squad,,,,,,,,,,,,,,,,,2.49,2546.35,2670044428,17,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-26T22:09:45.249392,/Users/rajasoun/.cache/huggingface/hub/models--google-bert--bert-large-cased-whole-word-masking-finetuned-squad
gpt2,gpt2,GPT2LMHeadModel,50257,768,768,12,,12,,64,,84934656,0.08,1024,gelu_new,,0.52,528.16,553814343,14,True,True,"config.json, tokenizer_config.json, vocab.json",2025-11-30T04:47:32.400906,/Users/rajasoun/.cache/huggingface/hub/models--gpt2
microsoft/DeBERTa-v3-base,,,,,,,,,,,,,,,,,0.69,707.91,742293624,7,True,False,"config.json, model.safetensors, pytorch_model.bin",2025-05-03T13:25:32.498939,/Users/rajasoun/.cache/huggingface/hub/models--microsoft--DeBERTa-v3-base
microsoft/Phi-3-mini-4k-instruct,,,,,,,,,,,,,,,,,14.24,14581.17,15289464532,27,True,True,"config.json, tokenizer_config.json",2025-03-08T00:17:07.567690,/Users/rajasoun/.cache/huggingface/hub/models--microsoft--Phi-3-mini-4k-instruct
microsoft/Phi-4,,,,,,,,,,,,,,,,,54.62,55934.69,58651772890,44,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-03-08T19:47:59.163005,/Users/rajasoun/.cache/huggingface/hub/models--microsoft--Phi-4
microsoft/Phi-4-mini-instruct,,,,,,,,,,,,,,,,,14.33,14675.17,15388026024,29,True,True,"config.json, tokenizer_config.json, vocab.json",2025-03-19T16:40:08.058455,/Users/rajasoun/.cache/huggingface/hub/models--microsoft--Phi-4-mini-instruct
microsoft/deberta-large-mnli,,,,,,,,,,,,,,,,,3.03,3101.89,3252568260,17,True,True,"config.json, model.safetensors, pytorch_model.bin, tokenizer_config.json, vocab.json",2025-11-28T11:01:22.462476,/Users/rajasoun/.cache/huggingface/hub/models--microsoft--deberta-large-mnli
mistralai/Mistral-7B-Instruct-v0.1,,,,,,,,,,,,,,,,,26.98,27629.5,28971630040,23,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-24T20:25:58.121781,/Users/rajasoun/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.1
mistralai/Mistral-7B-Instruct-v0.3,,,,,,,,,,,,,,,,,67.51,69131.6,72489738459,48,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-26T21:03:19.173187,/Users/rajasoun/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.3
mistralai/Mixtral-8x7B-Instruct-v0.1,,,,,,,,,,,,,,,,,0.0,0.0,1480,3,True,False,config.json,2025-11-08T21:55:02.545970,/Users/rajasoun/.cache/huggingface/hub/models--mistralai--Mixtral-8x7B-Instruct-v0.1
mlx-community/Mixtral-8x7B-Instruct-v0.1-4bit,,,,,,,,,,,,,,,,,48.94,50112.98,52547265724,23,True,True,"config.json, tokenizer_config.json",2025-11-08T21:15:19.545705,/Users/rajasoun/.cache/huggingface/hub/models--mlx-community--Mixtral-8x7B-Instruct-v0.1-4bit
mrm8488/bert-tiny-finetuned-squadv2,,,,,,,,,,,,,,,,,0.03,33.92,35562872,17,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-26T22:13:52.350782,/Users/rajasoun/.cache/huggingface/hub/models--mrm8488--bert-tiny-finetuned-squadv2
nreimers/MiniLM-L6-H384-uncased,,,,,,,,,,,,,,,,,0.34,347.14,363998446,19,True,True,"config.json, model.safetensors, pytorch_model.bin, tokenizer_config.json",2025-03-31T14:41:09.612692,/Users/rajasoun/.cache/huggingface/hub/models--nreimers--MiniLM-L6-H384-uncased
nvidia/prompt-task-and-complexity-classifier,,,,,,,,,,,,,,,,,1.39,1423.98,1493151508,16,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-05-03T13:25:49.783602,/Users/rajasoun/.cache/huggingface/hub/models--nvidia--prompt-task-and-complexity-classifier
roberta-base,,,,,,,,,,,,,,,,,0.93,956.59,1003059168,16,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-03-31T14:41:26.119313,/Users/rajasoun/.cache/huggingface/hub/models--roberta-base
roberta-large,,,,,,,,,,,,,,,,,2.65,2716.85,2848824020,16,True,True,"config.json, model.safetensors, tokenizer_config.json, vocab.json",2025-11-28T10:36:19.581872,/Users/rajasoun/.cache/huggingface/hub/models--roberta-large
sentence-transformers/all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,0.17,174.67,183156774,26,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-11-26T22:07:50.131491,/Users/rajasoun/.cache/huggingface/hub/models--sentence-transformers--all-MiniLM-L6-v2
sentence-transformers/all-mpnet-base-v2,,,,,,,,,,,,,,,,,0.82,836.7,877341244,15,True,True,"config.json, model.safetensors, tokenizer_config.json",2025-03-31T14:41:16.675664,/Users/rajasoun/.cache/huggingface/hub/models--sentence-transformers--all-mpnet-base-v2
