layer,category,week_number,week_name,item_name,description,keywords,file_path,executable_type,command_to_run,dependencies,prerequisites,priority,difficulty_level,estimated_time_minutes,learning_objectives,output_artifacts,portfolio_value
CORE,concept,W00,Core AI Concepts,Tokens and Tokenization,Text split into small units (tokens). Foundation of all LLM processing. Understand BPE subword and character tokenization.,tokens tokenization bpe subword text processing,core/tokens.py,python,"python learning-path/W00/core/tokens.py",transformers tiktoken,None,1,beginner,45,"Understand token units|Compare tokenization methods|Analyze token efficiency",tokenizer comparison,foundation
CORE,concept,W00,Core AI Concepts,Embeddings,Tokens converted to vectors (numerical representations). Semantic meaning encoded in high-dimensional space.,embeddings vectors numerical representation semantic space,core/embeddings.py,python,"python learning-path/W00/core/embeddings.py",sentence-transformers numpy,None,1,beginner,60,"Convert tokens to vectors|Visualize embedding space|Measure semantic similarity",embedding visualizations,foundation
CORE,concept,W00,Core AI Concepts,Vector Relationships and Attention,How each token/vector relates to every other. Self-attention mechanism computes contextual relationships.,attention self-attention vector relationships context,core/attention.py,python,"python learning-path/W00/core/attention.py",torch transformers,None,1,intermediate,75,"Understand attention mechanism|Visualize attention patterns|Compute attention scores",attention heatmaps,foundation
CORE,concept,W00,Core AI Concepts,Transformer Layers,Stacked attention + feedforward blocks. Multiple layers apply attention and transformations repeatedly.,transformer layers feedforward blocks stacked architecture,core/transformer_layers.py,python,"python learning-path/W00/core/transformer_layers.py",torch transformers,None,1,intermediate,60,"Understand layer composition|Trace data through layers|Analyze layer outputs",layer analysis,foundation
CORE,concept,W00,Core AI Concepts,Tensors,Data and weights stored and computed in tensors (multi-dimensional arrays). Core data structure for deep learning.,tensors multidimensional arrays data structure computation,core/tensors.py,python,"python learning-path/W00/core/tensors.py",torch numpy,None,1,beginner,45,"Manipulate tensor shapes|Understand broadcasting|Perform tensor operations",tensor exercises,foundation
CORE,concept,W00,Core AI Concepts,Parameters and Weights,Learned numerical values inside tensors updated during training. The knowledge of the model.,parameters weights learned values training optimization,core/parameters.py,python,"python learning-path/W00/core/parameters.py",torch transformers,None,1,intermediate,60,"Count model parameters|Inspect weight matrices|Understand parameter updates",parameter analysis,foundation
CORE,concept,W00,Core AI Concepts,LLM Architecture Overview,Complete picture: Tokens → Embeddings → Attention → Layers → Tensors → Parameters. End-to-end understanding.,llm architecture overview pipeline complete understanding,core/llm_architecture.py,python,"python learning-path/W00/core/llm_architecture.py",transformers torch,None,1,intermediate,90,"Trace full LLM pipeline|Inspect model components|Extract architecture details",architecture diagram,foundation
CORE,exercise,W00,Core AI Concepts,Model Inspection Exercise,Retrieve hidden size number of layers attention heads tensor shapes embedding size vocabulary size from any model.,model inspection architecture config hidden size layers heads,exercises/model_inspection.py,python,"python learning-path/W00/exercises/model_inspection.py",transformers torch,None,2,beginner,60,"Extract model config|Analyze architecture|Compare model sizes",model comparison report,high
CORE,exercise,W00,Core AI Concepts,Build Mini GPT from Scratch,Build a real small GPT-style model (10-20M params) from scratch. Implements attention layers and training loop.,mini gpt from scratch training attention implementation,exercises/bloom_mini_gpt.py,python,"python learning-path/W00/exercises/bloom_mini_gpt.py",torch tokenizers,None,3,advanced,180,"Implement transformer blocks|Train from scratch|Generate text",working mini LLM,flagship
CORE,exercise,W00,Core AI Concepts,Custom Tokenizer Training,Train a BPE tokenizer on custom corpus. Understand vocabulary construction and subword segmentation.,tokenizer training bpe vocabulary custom corpus,exercises/train_tokenizer.py,python,"python learning-path/W00/exercises/train_tokenizer.py",tokenizers,None,2,intermediate,45,"Train BPE tokenizer|Configure vocab size|Test tokenization",custom tokenizer.json,high
CORE,project,W00,Core AI Concepts,Bloom Taxonomy Educational LLM,Build a tutor that answers using Bloom's Taxonomy levels: remember understand apply analyze evaluate create.,bloom taxonomy educational tutor levels learning,projects/bloom_tutor/main.py,python,"python learning-path/W00/projects/bloom_tutor/main.py",transformers sentence-transformers faiss-cpu,None,4,advanced,240,"Design Bloom prompts|Generate training data|Build educational RAG",bloom tutor system,flagship
CORE,project,W00,Core AI Concepts,Bloom RAG System,RAG system that retrieves from learning notes and answers in Bloom's Taxonomy format with 6 cognitive levels.,bloom rag retrieval taxonomy educational notes,projects/bloom_tutor/bloom_rag.py,python,"python learning-path/W00/projects/bloom_tutor/bloom_rag.py",sentence-transformers faiss-cpu transformers,None,4,advanced,120,"Build note retrieval|Implement Bloom prompt|Ground answers in context",bloom rag system,flagship
CORE,project,W00,Core AI Concepts,Bloom Dataset Generator,Auto-generate Bloom's Taxonomy training data from notes. Creates instruction dataset for fine-tuning.,bloom dataset generator training data instruction,projects/bloom_tutor/bloom_dataset_generator.py,python,"python learning-path/W00/projects/bloom_tutor/bloom_dataset_generator.py",transformers datasets,None,3,intermediate,90,"Parse learning notes|Generate Q&A pairs|Format for training",bloom_training_data.jsonl,high
CORE,project,W00,Core AI Concepts,Bloom Evaluation Script,Evaluate Bloom quality: checks for all 6 sections provides human rubric scores measures completeness.,bloom evaluation quality assessment rubric sections,projects/bloom_tutor/eval_bloom.py,python,"python learning-path/W00/projects/bloom_tutor/eval_bloom.py",transformers,None,3,intermediate,60,"Check section coverage|Score with rubric|Measure quality",evaluation report,high
CORE,deployment,W00,Core AI Concepts,Ollama Bloom Tutor Deployment,Deploy Bloom tutor via Ollama Modelfile. Bakes Bloom's Taxonomy prompt into local model.,ollama deployment modelfile bloom tutor local,projects/bloom_tutor/Modelfile,config,"ollama create bloom-tutor -f Modelfile",ollama,None,4,intermediate,30,"Create Modelfile|Build Ollama model|Run locally",running bloom tutor,high
